	AP1	AP2	AP3	AP4	AP5	Coordenada X	Coordenada Y	id
117	-52	-58	-66	-74	-64	3.42	14.61	118
118	-57	-67	-75	-84	-60	2.45	14.51	119
119	-47	-59	-69	-79	-59	1.39	14.51	120
120	-54	-65	-72	-80	-61	1.39	13.58	121
121	-47	-57	-67	-82	-58	2.4	13.58	122
122	-58	-62	-67	-75	-58	3.42	13.58	123
123	-59	-67	-69	-76	-59	4.44	13.63	124
124	-56	-59	-67	-75	-54	5.42	13.63	125
125	-58	-60	-68	-68	-59	6.4	13.58	126
126	-59	-62	-64	-71	-67	7.41	13.63	127
127	-59	-56	-65	-73	-59	8.43	13.58	128
128	-63	-59	-68	-72	-56	9.41	13.63	129
129	-63	-58	-63	-72	-60	10.39	13.63	130
130	-66	-63	-61	-79	-66	11.41	13.63	131
131	-71	-65	-63	-74	-69	12.42	13.67	132
132	-68	-61	-53	-72	-66	13.44	13.67	133
133	-63	-63	-54	-74	-62	14.42	13.63	134
134	-71	-60	-51	-77	-65	15.4	13.63	135
135	-70	-55	-50	-79	-69	16.46	13.63	136
136	-75	-55	-57	-81	-71	17.39	13.58	137
137	-74	-59	-54	-84	-69	18.33	13.63	138
138	-70	-54	-56	-79	-66	19.47	13.63	139
139	-74	-57	-63	-80	-67	20.36	13.58	140
140	-76	-59	-65	-76	-72	20.41	12.64	141
141	-75	-63	-59	-83	-74	19.43	12.55	142
142	-75	-54	-55	-80	-75	18.41	12.6	143
143	-71	-59	-51	-78	-71	17.39	12.6	144
144	-77	-61	-52	-79	-69	16.5	12.55	145
145	-74	-56	-47	-77	-66	15.35	12.55	146
146	-70	-63	-55	-78	-74	14.38	12.6	147
147	-77	-62	-54	-72	-69	13.44	12.55	148
148	-65	-56	-65	-73	-68	12.38	12.5	149
149	-66	-65	-60	-73	-65	11.45	12.55	150
150	-64	-69	-60	-71	-64	10.39	12.5	151
151	-64	-60	-58	-71	-63	9.41	12.6	152
152	-54	-61	-66	-73	-55	8.43	12.6	153
153	-56	-57	-59	-66	-52	7.37	12.64	154
154	-63	-62	-72	-75	-57	6.44	12.64	155
155	-59	-61	-70	-75	-59	5.42	12.69	156
156	-55	-65	-75	-78	-63	4.44	12.69	157
157	-54	-59	-73	-79	-60	3.47	12.6	158
158	-47	-59	-73	-77	-64	2.4	12.6	159
159	-52	-58	-70	-76	-67	1.43	12.55	160
160	-57	-57	-67	-66	-54	6.52	11.43	161
161	-52	-54	-66	-61	-54	7.41	11.57	162
162	-67	-60	-69	-69	-56	8.39	11.48	163
163	-69	-69	-73	-70	-61	9.37	11.57	164
164	-67	-64	-60	-66	-65	10.39	11.62	165
165	-64	-55	-58	-68	-63	11.36	11.48	166
166	-60	-51	-51	-69	-64	12.3	11.52	167
167	-63	-56	-53	-66	-66	13.4	11.57	168
168	-70	-58	-47	-73	-72	14.46	11.52	169
169	-65	-56	-50	-76	-73	15.44	11.48	170
170	-74	-51	-48	-75	-73	16.41	11.43	171
171	-73	-52	-45	-71	-64	17.43	11.52	172
172	-79	-65	-54	-85	-69	18.41	11.52	173
173	-76	-51	-52	-77	-67	19.39	11.43	174
174	-69	-49	-59	-77	-68	20.45	11.52	175
175	-76	-56	-56	-77	-68	20.36	10.45	176
176	-77	-53	-57	-80	-66	19.43	10.4	177
177	-74	-55	-53	-79	-72	18.45	10.5	178
178	-73	-57	-41	-75	-69	17.35	10.5	179
179	-77	-60	-44	-74	-69	16.41	10.5	180
180	-73	-55	-49	-71	-68	15.4	10.45	181
181	-72	-62	-50	-67	-68	14.38	10.5	182
182	-69	-61	-65	-69	-70	13.36	10.45	183
183	-69	-53	-55	-71	-60	12.34	10.54	184
184	-70	-60	-63	-68	-62	11.36	10.5	185
185	-68	-61	-70	-75	-64	10.47	10.59	186
186	-70	-64	-66	-63	-62	9.37	10.54	187
187	-63	-68	-67	-64	-58	8.43	10.5	188
188	-67	-59	-70	-63	-58	7.37	10.5	189
189	-66	-64	-72	-69	-69	6.48	10.5	190
190	-79	-63	-41	-64	-73	14.45	9.4	191
191	-78	-66	-39	-70	-73	15.38	9.45	192
192	-74	-58	-33	-63	-69	16.32	9.54	193
193	-78	-67	-34	-69	-66	17.34	9.54	194
194	-76	-65	-43	-55	-70	14.45	8.52	195
195	-72	-64	-40	-58	-76	15.42	8.56	196
196	-77	-65	-34	-65	-68	16.44	8.38	197
197	-77	-63	-39	-71	-70	17.34	8.42	198
198	-80	-65	-43	-56	-69	14.45	7.44	199
199	-78	-64	-45	-63	-70	15.38	7.49	200
200	-84	-75	-45	-69	-73	16.4	7.44	201
201	-75	-68	-42	-72	-81	17.34	7.49	202
202	-77	-66	-45	-67	-76	14.49	6.51	203
203	-79	-66	-47	-62	-77	15.38	6.56	204
204	-82	-75	-50	-63	-74	16.4	6.56	205
205	-81	-67	-39	-72	-80	17.38	6.6	206
206	-78	-63	-48	-63	-75	14.36	5.58	207
207	-80	-68	-46	-64	-80	15.42	5.58	208
208	-76	-66	-46	-70	-77	16.4	5.62	209
209	-77	-60	-41	-67	-72	17.38	5.58	210
210	-85	-70	-55	-62	-78	14.4	4.55	211
211	-80	-66	-45	-65	-79	15.42	4.51	212
212	-85	-73	-48	-62	-78	16.4	4.46	213
213	-83	-73	-51	-69	-81	17.34	4.55	214
214	-86	-69	-54	-60	-80	14.45	3.57	215
215	-83	-71	-51	-63	-81	15.47	3.53	216
216	-82	-71	-46	-64	-82	16.44	3.57	217
217	-88	-75	-44	-64	-81	17.34	3.67	218
218	-85	-69	-56	-55	-77	14.36	2.64	219
219	-82	-72	-46	-63	-81	15.42	2.59	220
220	-79	-74	-46	-67	-79	16.4	2.55	221
221	-86	-78	-52	-71	-79	17.34	2.64	222
222	-88	-69	-53	-62	-84	14.36	1.62	223
223	-86	-74	-49	-74	-84	15.38	1.62	224
224	-90	-76	-53	-66	-82	16.32	1.66	225
225	-88	-76	-51	-59	-82	17.38	1.76	226
226	-79	-71	-68	-69	-64	10.45	9.45	227
227	-75	-72	-49	-55	-62	11.43	9.4	228
228	-82	-75	-55	-60	-64	12.4	9.45	229
229	-73	-68	-50	-57	-69	13.34	9.49	230
230	-78	-73	-58	-61	-68	10.49	8.47	231
231	-78	-71	-55	-54	-64	11.38	8.47	232
232	-80	-68	-56	-58	-71	12.4	8.56	233
233	-78	-75	-56	-63	-67	13.38	8.56	234
234	-74	-73	-63	-55	-65	10.49	7.49	235
235	-70	-67	-51	-56	-62	11.38	7.49	236
236	-73	-75	-47	-58	-60	12.36	7.49	237
237	-77	-65	-50	-59	-67	13.38	7.58	238
238	-82	-80	-64	-55	-67	10.45	6.6	239
239	-74	-72	-57	-58	-67	11.43	6.56	240
240	-70	-71	-49	-52	-60	12.36	6.56	241
